Unnamed: 0,PolicyNo_Flag,Year,postalCode,builtYear,nrOfFloors,Construction_Material_C,Item_Type_C,FloorsType_C,Location,Region,Region_code,distr,distr_code,floodvulnerability,windvulnerability,TExposure,postcode_area,postcode_perimeter,postcode_coast_flg,postcode_coast_len,postcode_alt_mean,postcode_slo_mean,postcode_slp_mean,postcode_rgh_mean,postcode_cor_111,postcode_cor_112,postcode_cor_121,postcode_cor_122,postcode_cor_123,postcode_cor_124,postcode_cor_131,postcode_cor_132,postcode_cor_133,postcode_cor_141,postcode_cor_142,postcode_cor_211,postcode_cor_212,postcode_cor_213,postcode_cor_221,postcode_cor_222,postcode_cor_223,postcode_cor_231,postcode_cor_241,postcode_cor_242,postcode_cor_243,postcode_cor_244,postcode_cor_311,postcode_cor_312,postcode_cor_313,postcode_cor_321,postcode_cor_322,postcode_cor_323,postcode_cor_324,postcode_cor_331,postcode_cor_332,postcode_cor_333,postcode_cor_334,postcode_cor_411,postcode_cor_412,postcode_cor_421,postcode_cor_422,postcode_cor_511,postcode_cor_512,postcode_cor_521,postcode_cor_522,postcode_cor_523,SubItemType_C,TCapital_Insurred,TPremiums,TIncurred,Avg_Cost,ClaimNb_Flood,ClaimNb_Other,ClaimNb_Storm,TClaimsNo
85683,271949P,2022,18451,2011,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,4,2,0.367123288,1219853,4920,0,0,75.774,2.648,4.625,25.323,905503,0,0,0,0,0,0,0,0,0,314350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,186000,0,0,0,0,0,0,0
2263,97460P,2022,10444,1980,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,790439,3802,0,0,54.8,1.061,1.852,8.95,790439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,192000,45.22,0,0,0,0,0,0
62226,18235P,2013,16672,1969,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,3,2,0.257534247,18618481,28530,1,6611,85.882,4.449,7.806,40.595,0,6597467,629400,0,0,0,0,0,0,0,293547,0,0,0,0,0,0,1661836,0,1536845,0,0,0,0,0,0,0,4340272,3222927,0,0,314034,0,0,0,0,0,0,0,0,0,22153,C1C2,113600,33.68,0,0,0,0,0,0
68059,167015P,2018,17121,1970,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,0.153424658,826319,4072,0,0,47.875,1.795,3.133,15.958,826319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,141250,34.9,0,0,0,0,0,0
88422,426P,2018,18537,1970,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,4,3,1.002739726,503730,5157,1,2529,28.182,3.294,5.759,28,430157,0,0,0,63291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10282,C1C2,113600,35.2,0,0,0,0,0,0
163775,45946P,2017,64010,1972,0,C1,C1,C1,Other,Macedonia and island of Thasos (excl.Thessaloniki),2,East Macedonia and Thrace,8,2,2,0.476712329,102827074,58200,1,27346,337.719,11.083,19.81,104.729,0,961224,0,0,0,0,0,0,0,0,0,1194660,0,0,0,0,16859279,0,0,0,5690602,0,0,17410267,0,3408206,0,1736733,25082233,0,0,1469348,27759842,0,0,358689,0,0,0,0,0,895989,C1C2,160000,51.54,0,0,0,0,0,0
83449,90279P,2019,18050,1970,0,C1,C3,C1,Other,Peloponnissos (excl. Patras),11,Attica,3,3,2,0.336986301,21939042,41112,1,41112,74.891,5.509,9.657,51.798,0,1550284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601816,0,0,0,1838404,0,0,3445887,1619997,0,0,8129831,0,0,0,0,1444419,0,0,0,0,0,0,0,0,308402,C1C2,82500,24.52,0,0,0,0,0,0
126562,40965P,2016,41221,1982,2,C1,C3,C1,Other,Thessalia (excl. Volos),5,Thessaly,13,5,2,1.005479452,1325034,5302,0,0,78,0.673,1.175,6.056,889787,365959,0,0,0,0,0,0,0,18831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,407500,327.97,0,0,0,0,0,0
147806,176227P,2020,56430,1979,0,C1,C1,C2,Other,City of Thessaloniki,3,Central Macedonia,7,5,2,0.038356164,1943206,8701,0,0,46.78,0.985,1.719,8.8,1494889,371792,76526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,86250,21.31,0,0,0,0,0,0
105709,294016P,2013,21052,1984,0,C2,C1,C1,Other,Peloponnissos (excl. Patras),11,Peloponnese,10,3,2,0.087671233,237489294,87065,1,2856,403.905,8.087,14.405,76.56,0,1324657,0,1209282,0,0,751085,0,0,0,376869,9881135,0,0,0,1028596,40374898,360834,0,6141356,17478083,0,478857,1119591,530808,6335217,0,141401738,3523130,0,397602,4762685,0,0,0,0,0,0,0,0,0,12875,C1C2,200000,59.27,0,0,0,0,0,0
54275,4377P,2018,15771,2005,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,612698,3639,0,0,147.786,1.948,3.402,17.857,588044,0,0,0,0,0,0,0,0,22742,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,116800,24.11,0,0,0,0,0,1
78522,21776P,2015,17564,2007,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,1310589,5144,0,0,14.667,1.058,1.846,8.818,1195852,0,0,0,0,0,0,0,0,0,114738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,166400,49.11,0,0,0,0,0,0
63268,214505P,2022,16673,1964,2,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,3,2,1.002739726,9190522,18773,1,5979,94.229,3.89,6.817,36.753,0,6758478,0,0,0,0,0,0,0,0,405026,0,0,0,0,0,0,147534,0,0,0,0,0,0,0,0,0,0,1846599,0,0,0,0,0,0,0,0,0,0,0,0,32886,C1C2,94800,11.58,0,0,0,0,0,0
108581,92985P,2022,22100,2005,0,C1,C1,C1,Other,Peloponnissos (excl. Patras),11,Peloponnese,10,2,1,1.002739726,589845463,171307,0,0,928.014,8.551,15.31,81.164,2735491,7255572,3227004,2999841,0,1152234,1463570,0,62,0,0,60296523,0,0,4418436,0,927618,8301329,0,64418073,22742963,0,795291,87415944,6407137,65881596,0,182626089,48295869,0,3035870,14341110,0,0,0,0,0,0,1107835,0,0,0,C1C2,125000,19.86,0,0,0,0,0,0
123455,219509P,2022,37010,1960,1,C1,C1,C1,Other,Thessalia (excl. Volos),5,Thessaly,13,1,1,1.002739726,92304193,60931,1,21636,407.04,9.536,16.923,87.028,0,2967606,0,0,0,0,646096,0,0,0,0,29936,0,0,0,1114760,15997157,314254,0,1962741,10219198,0,18291089,1419327,2977555,0,0,13539476,22770872,0,0,0,0,0,0,0,0,0,0,0,0,54125,C1C2,187500,46.31,0,0,0,0,0,0
37156,41937P,2015,14565,1968,1,C2,C1,C1,Athens,Cities of Athens and Pireaus,9,Attica,3,3,1,1.002739726,7785936,13736,0,0,367.215,2.333,4.077,21.841,0,2905900,1368080,205126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900262,814175,0,0,249273,0,0,0,0,1343121,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,17608.21,13.57,0,0,0,0,0,0
129259,264396P,2022,43100,1990,0,C1,C3,C1,Other,Thessalia (excl. Volos),5,Thessaly,13,3,2,0.676712329,673168779,150002,0,0,485.255,6.681,11.989,64.425,836126,17514525,3131965,0,0,0,523266,0,0,0,0,58774316,202601060,0,2993923,0,0,4728368,0,22868015,44586313,0,95382340,38944715,49637290,12111961,2414245,52347763,54492354,252495,225979,830877,0,0,0,0,0,648574,7322383,0,0,0,C1C2,210000,83.44,0,0,0,0,0,0
167706,36766P,2014,70014,1986,2,C1,C3,C1,Other,Crete ( excl. Eraklion),14,Crete,4,3,2,0.82739726,76685736,48745,1,22568,183.553,5.965,10.528,55.587,0,2048194,734,87502,0,0,0,0,400195,0,4974375,0,0,0,0,0,22497154,0,0,7167531,7553358,0,0,0,0,15103685,0,16763153,0,0,0,0,0,0,0,0,0,0,0,0,0,89851,C1C2,120000,76.75,0,0,0,0,0,0
